Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2020-10-27,LAD,TBD,3.0,1.0,8.5,-120.0,106.0
2020-10-25,TBD,LAD,2.0,4.0,8.0,145.0,-166.0
2020-10-24,TBD,LAD,8.0,7.0,8.0,143.0,-162.0
2020-10-23,TBD,LAD,2.0,6.0,7.5,145.0,-164.0
2020-10-21,LAD,TBD,4.0,6.0,8.0,-130.0,115.0
2020-10-20,LAD,TBD,8.0,3.0,7.5,-162.0,142.0
2020-10-18,LAD,ATL,4.0,3.0,8.5,-154.0,135.0
2020-10-17,LAD,ATL,3.0,1.0,8.5,-150.0,130.0
2020-10-17,TBD,HOU,4.0,2.0,7.5,-115.0,100.0
2020-10-16,TBD,HOU,4.0,7.0,8.0,-132.0,115.0
2020-10-16,ATL,LAD,3.0,7.0,9.0,165.0,-197.0
2020-10-15,HOU,TBD,4.0,3.0,9.5,119.0,-135.0
2020-10-15,ATL,LAD,10.0,2.0,9.0,185.0,-220.0
2020-10-14,ATL,LAD,3.0,15.0,9.5,170.0,-196.0
2020-10-14,HOU,TBD,4.0,3.0,8.5,115.0,-131.0
2020-10-13,LAD,ATL,7.0,8.0,8.5,-140.0,126.0
2020-10-13,HOU,TBD,2.0,5.0,8.5,-105.0,-106.0
2020-10-12,TBD,HOU,4.0,2.0,8.5,-112.0,102.0
2020-10-12,LAD,ATL,1.0,5.0,8.0,-148.0,129.0
2020-10-11,TBD,HOU,2.0,1.0,8.0,-131.0,116.0
2020-10-09,TBD,NYY,2.0,1.0,,,
2020-10-08,FLA,ATL,0.0,7.0,,,
2020-10-08,HOU,OAK,11.0,6.0,,,
2020-10-08,NYY,TBD,5.0,1.0,,,
2020-10-08,SDP,LAD,3.0,12.0,,,
2020-10-07,ATL,FLA,2.0,0.0,,,
2020-10-07,HOU,OAK,7.0,9.0,,,
2020-10-07,NYY,TBD,4.0,8.0,,,
2020-10-07,LAD,SDP,6.0,5.0,,,
2020-10-06,ATL,FLA,9.0,5.0,,,
2020-10-06,OAK,HOU,2.0,5.0,,,
2020-10-06,TBD,NYY,7.0,5.0,,,
2020-10-06,LAD,SDP,5.0,1.0,,,
2020-10-05,OAK,HOU,5.0,10.0,,,
2020-10-05,TBD,NYY,3.0,9.0,,,
2020-10-02,CHC,FLA,0.0,2.0,,,
2020-10-02,SDP,STL,4.0,0.0,,,
2020-10-01,ATL,CIN,5.0,0.0,,,
2020-10-01,OAK,CHW,6.0,4.0,,,
2020-10-01,SDP,STL,11.0,9.0,,,
2020-10-01,LAD,MIL,3.0,0.0,,,
2020-09-30,ATL,CIN,1.0,0.0,,,
2020-09-30,MIN,HOU,1.0,3.0,,,
2020-09-30,CHC,FLA,1.0,5.0,,,
2020-09-30,OAK,CHW,5.0,3.0,,,
2020-09-30,TBD,TOR,8.0,2.0,,,
2020-09-30,SDP,STL,4.0,7.0,,,
2020-09-30,CLE,NYY,9.0,10.0,,,
2020-09-30,LAD,MIL,4.0,2.0,,,
2020-09-29,MIN,HOU,1.0,4.0,,,
2020-09-29,OAK,CHW,1.0,4.0,,,
2020-09-29,TBD,TOR,3.0,1.0,,,
2020-09-29,CLE,NYY,3.0,12.0,,,
2020-09-27,KCR,DET,3.0,1.0,8.0,-177.0,155.0
2020-09-27,WSN,NYM,15.0,5.0,8.5,106.0,-121.0
2020-09-27,TEX,HOU,8.0,4.0,9.5,110.0,-125.0
2020-09-27,NYY,FLA,0.0,5.0,10.0,-183.0,157.0
2020-09-27,SFG,SDP,4.0,5.0,8.5,-118.0,100.0
2020-09-27,TOR,BAL,5.0,7.0,10.0,-126.0,110.0
2020-09-27,MIN,CIN,3.0,5.0,8.0,-132.0,115.0
2020-09-27,OAK,SEA,6.0,2.0,8.0,-127.0,110.0
2020-09-27,CLE,PIT,8.0,6.0,8.0,-163.0,144.0
2020-09-27,ARI,COL,11.0,3.0,9.0,-110.0,-105.0
2020-09-27,TBD,PHI,5.0,0.0,7.5,125.0,-143.0
2020-09-27,LAD,ANA,5.0,0.0,8.5,-225.0,195.0
2020-09-27,CHW,CHC,8.0,10.0,9.0,-155.0,135.0
2020-09-27,ATL,BOS,1.0,9.0,9.5,-149.0,131.0
2020-09-27,STL,MIL,5.0,2.0,8.0,-112.0,-105.0
2020-09-26,NYY,FLA,11.0,4.0,9.5,-250.0,205.0
2020-09-26,WSN,NYM,4.0,3.0,,,
2020-09-26,OAK,SEA,1.0,5.0,7.0,-141.0,125.0
2020-09-26,WSN,NYM,5.0,3.0,8.5,-143.0,127.0
2020-09-26,TOR,BAL,5.0,2.0,9.0,-120.0,106.0
