Date,Home,Away,Home_Score,Away_Score,OU_Line,Home_ML,Away_ML
2018-03-29,ARI,COL,8,2,,,
2018-03-29,ATL,PHI,8,5,,,
2018-03-29,BAL,MIN,3,2,,,
2018-03-29,FLA,CHC,4,8,,,
2018-03-29,KCR,CHW,7,14,,,
2018-03-29,LAD,SFG,0,1,,,
2018-03-29,NYM,STL,9,4,,,
2018-03-29,OAK,ANA,6,5,,,
2018-03-29,SDP,MIL,1,2,,,
2018-03-29,SEA,CLE,2,1,,,
2018-03-29,TBD,BOS,6,4,,,
2018-03-29,TEX,HOU,1,4,,,
2018-03-29,TOR,NYY,1,6,,,
2018-03-30,ARI,COL,9,8,,,
2018-03-30,ATL,PHI,4,5,,,
2018-03-30,CIN,WSN,0,2,,,
2018-03-30,DET,PIT,10,13,,,
2018-03-30,FLA,CHC,2,1,,,
2018-03-30,LAD,SFG,0,1,,,
2018-03-30,OAK,ANA,1,2,,,
2018-03-30,SDP,MIL,6,8,,,
2018-03-30,TBD,BOS,0,1,,,
2018-03-30,TEX,HOU,5,1,,,
2018-03-30,TOR,NYY,2,4,,,
2018-03-31,ARI,COL,1,2,,,
2018-03-31,ATL,PHI,15,2,,,
2018-03-31,BAL,MIN,2,6,,,
2018-03-31,CIN,WSN,7,13,,,
2018-03-31,FLA,CHC,6,10,,,
2018-03-31,KCR,CHW,3,4,,,
2018-03-31,LAD,SFG,5,0,,,
2018-03-31,NYM,STL,6,2,,,
2018-03-31,OAK,ANA,3,8,,,
2018-03-31,SDP,MIL,3,7,,,
2018-03-31,SEA,CLE,5,6,,,
2018-03-31,TBD,BOS,2,3,,,
2018-03-31,TEX,HOU,3,9,,,
2018-03-31,TOR,NYY,5,3,,,
2018-04-01,BAL,MIN,0,7,,,
2018-04-01,CIN,WSN,5,6,,,
2018-04-01,DET,PIT,0,1,,,
2018-04-01,DET,PIT,6,8,,,
2018-04-01,FLA,CHC,6,0,,,
2018-04-01,LAD,SFG,9,0,,,
2018-04-01,NYM,STL,1,5,,,
2018-04-01,OAK,ANA,4,7,,,
2018-04-01,SEA,CLE,5,4,,,
2018-04-01,TBD,BOS,1,2,,,
2018-04-01,TEX,HOU,2,8,,,
2018-04-01,TOR,NYY,7,4,,,
2018-04-02,ANA,CLE,0,6,,,
2018-04-02,ARI,LAD,8,7,,,
2018-04-02,ATL,WSN,1,8,,,
2018-04-02,CIN,CHC,1,0,,,
2018-04-02,DET,KCR,6,1,,,
2018-04-02,FLA,BOS,3,7,,,
2018-04-02,HOU,BAL,6,1,,,
2018-04-02,MIL,STL,4,8,,,
2018-04-02,OAK,TEX,3,1,,,
2018-04-02,PIT,MIN,5,4,,,
2018-04-02,SDP,COL,4,7,,,
2018-04-02,TOR,CHW,4,2,,,
2018-04-03,ANA,CLE,13,2,,,
2018-04-03,ARI,LAD,6,1,,,
2018-04-03,ATL,WSN,13,6,,,
2018-04-03,DET,KCR,0,1,,,
2018-04-03,FLA,BOS,2,4,,,
2018-04-03,HOU,BAL,10,6,,,
2018-04-03,MIL,STL,5,4,,,
2018-04-03,NYM,PHI,2,0,,,
2018-04-03,NYY,TBD,11,4,,,
2018-04-03,OAK,TEX,1,4,,,
2018-04-03,SDP,COL,8,4,,,
2018-04-03,SFG,SEA,4,6,,,
2018-04-03,TOR,CHW,14,5,,,
2018-04-04,ANA,CLE,3,2,,,
2018-04-04,ARI,LAD,3,0,,,
2018-04-04,ATL,WSN,7,1,,,
2018-04-04,HOU,BAL,3,2,,,
2018-04-04,MIL,STL,0,6,,,
2018-04-04,NYM,PHI,4,2,,,
2018-04-04,NYY,TBD,7,2,,,
2018-04-04,OAK,TEX,6,2,,,
2018-04-04,PIT,MIN,3,7,,,
2018-04-04,SDP,COL,2,5,,,
2018-04-04,SFG,SEA,10,1,,,
2018-04-04,TOR,CHW,3,4,,,
2018-04-05,BOS,TBD,3,2,,,
2018-04-05,CHW,DET,7,9,,,
2018-04-05,MIL,CHC,0,8,,,
2018-04-05,MIN,SEA,4,2,,,
2018-04-05,NYY,BAL,2,5,,,
2018-04-05,OAK,TEX,3,6,,,
2018-04-05,PHI,FLA,5,0,,,
2018-04-05,PIT,CIN,5,2,,,
2018-04-05,SDP,COL,1,3,,,
2018-04-05,STL,ARI,1,3,,,
2018-04-05,WSN,NYM,2,8,,,
2018-04-06,ANA,OAK,13,9,,,
2018-04-06,CLE,KCR,3,2,,,
2018-04-06,COL,ATL,3,8,,,
2018-04-06,HOU,SDP,1,4,,,
2018-04-06,MIL,CHC,5,4,,,
2018-04-06,NYY,BAL,3,7,,,
2018-04-06,PIT,CIN,14,3,,,
2018-04-06,TEX,TOR,5,8,,,
2018-04-07,ANA,OAK,3,7,,,
2018-04-07,BOS,TBD,10,3,,,
2018-04-07,CHW,DET,1,6,,,
2018-04-07,CLE,KCR,0,1,,,
2018-04-07,COL,ATL,3,2,,,
2018-04-07,HOU,SDP,1,0,,,
2018-04-07,MIL,CHC,2,5,,,
2018-04-07,MIN,SEA,4,11,,,
2018-04-07,NYY,BAL,8,3,,,
2018-04-07,PHI,FLA,20,1,,,
2018-04-07,PIT,CIN,4,7,,,
2018-04-07,SFG,LAD,7,5,,,
2018-04-07,STL,ARI,5,3,,,
2018-04-07,TEX,TOR,5,1,,,
2018-04-07,WSN,NYM,2,3,,,
2018-04-08,ANA,OAK,6,1,,,
2018-04-08,BOS,TBD,8,7,,,
2018-04-08,CHW,DET,0,1,,,
2018-04-08,CLE,KCR,3,1,,,
2018-04-08,COL,ATL,0,4,,,
2018-04-08,HOU,SDP,4,1,,,
2018-04-08,MIL,CHC,0,3,,,
2018-04-08,NYY,BAL,7,8,,,
2018-04-08,PHI,FLA,3,6,,,
2018-04-08,PIT,CIN,5,0,,,
2018-04-08,SFG,LAD,1,2,,,
2018-04-08,STL,ARI,1,4,,,
2018-04-08,TEX,TOR,4,7,,,
2018-04-08,WSN,NYM,5,6,,,
2018-04-09,BAL,TOR,1,7,,,
2018-04-09,CHW,TBD,4,5,,,
2018-04-09,CLE,DET,2,0,,,
2018-04-09,COL,SDP,6,7,,,
2018-04-09,FLA,NYM,2,4,,,
2018-04-09,KCR,SEA,10,0,,,
2018-04-09,MIN,HOU,0,2,,,
