pitcher_id,pitcher,Date,gamePk,outs,strikeOuts,baseOnBalls,hits,earnedRuns,homeRuns,inningsPitched,game_score
430912,Matt Cain,2016-04-08,446916,18,3,1,6,2,0,6.0,51
430912,Matt Cain,2016-04-14,447006,14,7,1,6,6,1,4.666666666666667,33
430912,Matt Cain,2016-04-19,447059,14,2,4,5,3,0,4.666666666666667,39
430912,Matt Cain,2016-04-24,447138,17,4,2,10,4,1,5.666666666666667,29
430912,Matt Cain,2016-04-30,447226,18,5,1,7,6,2,6.0,27
430912,Matt Cain,2016-05-05,447286,12,0,0,10,6,2,4.0,12
430912,Matt Cain,2016-05-10,447367,24,7,0,6,2,1,8.0,57
430912,Matt Cain,2016-05-15,447433,21,5,2,7,1,0,7.0,55
430912,Matt Cain,2016-05-21,447504,18,5,2,6,1,1,6.0,48
430912,Matt Cain,2016-05-27,447592,5,0,0,1,0,0,1.6666666666666663,53
430912,Matt Cain,2016-06-13,447823,11,3,5,5,3,0,3.6666666666666665,35
430912,Matt Cain,2016-07-20,448285,7,1,1,6,5,3,2.333333333333333,11
430912,Matt Cain,2016-07-26,448358,16,4,1,6,4,2,5.333333333333333,32
430912,Matt Cain,2016-07-31,448437,15,5,4,0,0,0,5.0,62
430912,Matt Cain,2016-08-06,448515,15,4,3,5,0,0,5.0,53
430912,Matt Cain,2016-08-12,448584,12,7,1,10,5,2,4.0,20
430912,Matt Cain,2016-08-17,448659,14,4,3,3,6,1,4.666666666666667,32
430912,Matt Cain,2017-04-07,490159,13,3,3,6,4,2,4.333333333333333,24
430912,Matt Cain,2017-04-12,490215,15,6,3,5,1,0,5.0,52
430912,Matt Cain,2017-04-18,490307,21,3,2,4,1,1,7.0,53
430912,Matt Cain,2017-04-24,490384,18,3,1,2,0,0,6.0,65
430912,Matt Cain,2017-04-29,490457,15,7,0,6,1,0,5.0,57
430912,Matt Cain,2017-05-05,490539,10,2,6,10,9,0,3.333333333333333,3
430912,Matt Cain,2017-05-10,490609,15,3,2,4,2,1,5.0,44
430912,Matt Cain,2017-05-15,490672,20,5,3,5,1,0,6.666666666666667,56
430912,Matt Cain,2017-05-21,490759,16,1,3,9,7,1,5.333333333333333,16
430912,Matt Cain,2017-05-26,490815,21,3,1,7,1,0,7.0,55
430912,Matt Cain,2017-05-31,490903,15,3,1,9,3,1,5.0,33
430912,Matt Cain,2017-06-06,490975,15,3,2,10,5,1,5.0,23
430912,Matt Cain,2017-06-11,491045,13,1,3,7,5,2,4.333333333333333,17
430912,Matt Cain,2017-06-17,491125,15,3,2,9,1,0,5.0,43
430912,Matt Cain,2017-06-22,491195,12,1,0,10,7,3,4.0,4
430912,Matt Cain,2017-06-27,491253,18,3,3,6,3,1,6.0,38
430912,Matt Cain,2017-07-04,491360,19,3,1,7,5,1,6.333333333333333,35
430912,Matt Cain,2017-07-19,491510,18,5,2,5,3,0,6.0,50
430912,Matt Cain,2017-07-24,491588,12,1,1,6,2,1,4.0,37
430912,Matt Cain,2017-07-31,491676,15,1,3,7,2,0,5.0,40
430912,Matt Cain,2017-08-16,491900,12,7,1,5,2,0,4.0,51
430912,Matt Cain,2017-08-31,492099,15,2,0,7,2,1,5.0,41
430912,Matt Cain,2017-09-30,492511,15,4,1,2,0,0,5.0,63
282332,CC Sabathia,2016-04-09,446934,18,3,4,4,3,0,6.0,46
282332,CC Sabathia,2016-04-16,447034,14,5,1,7,3,1,4.666666666666667,38
282332,CC Sabathia,2016-04-22,447116,14,2,3,9,3,0,4.666666666666667,33
282332,CC Sabathia,2016-04-27,447185,18,5,3,5,3,0,6.0,48
282332,CC Sabathia,2016-05-04,447278,21,6,2,6,0,0,7.0,61
282332,CC Sabathia,2016-05-20,447495,18,8,1,3,1,0,6.0,65
282332,CC Sabathia,2016-05-26,447578,21,7,1,2,0,0,7.0,72
282332,CC Sabathia,2016-05-31,447646,18,4,1,5,2,1,6.0,48
282332,CC Sabathia,2016-06-05,447717,15,5,6,2,0,0,5.0,54
282332,CC Sabathia,2016-06-10,447776,21,4,2,5,0,0,7.0,61
282332,CC Sabathia,2016-06-16,447861,18,7,3,6,1,0,6.0,54
282332,CC Sabathia,2016-06-22,447940,13,3,2,7,5,1,4.333333333333333,27
282332,CC Sabathia,2016-06-28,448029,21,2,1,8,6,1,7.0,31
282332,CC Sabathia,2016-07-04,448111,18,9,2,8,5,2,6.0,30
282332,CC Sabathia,2016-07-09,448179,17,2,2,7,5,0,5.666666666666667,36
282332,CC Sabathia,2016-07-16,448219,16,2,3,9,4,1,5.333333333333333,26
282332,CC Sabathia,2016-07-21,448290,20,2,1,7,4,0,6.666666666666667,44
282332,CC Sabathia,2016-07-26,448362,20,5,2,4,2,2,6.666666666666667,45
282332,CC Sabathia,2016-08-01,448443,17,5,3,8,5,2,5.666666666666667,23
282332,CC Sabathia,2016-08-06,448508,17,5,4,6,3,2,5.666666666666667,31
282332,CC Sabathia,2016-08-12,448596,18,7,3,4,3,1,6.0,46
282332,CC Sabathia,2016-08-17,448663,18,12,1,9,7,1,6.0,33
282332,CC Sabathia,2016-08-23,448741,21,7,1,3,1,0,7.0,67
282332,CC Sabathia,2016-08-28,448803,20,8,2,6,3,1,6.666666666666667,47
282332,CC Sabathia,2016-09-03,448888,18,1,2,6,1,1,6.0,44
282332,CC Sabathia,2016-09-08,448959,12,4,0,7,3,3,4.0,25
282332,CC Sabathia,2016-09-13,449025,19,7,1,3,0,0,6.333333333333333,68
282332,CC Sabathia,2016-09-18,449098,15,5,3,8,4,1,5.0,30
282332,CC Sabathia,2016-09-24,449179,21,2,3,4,0,0,7.0,59
282332,CC Sabathia,2016-09-29,449243,22,8,2,4,1,1,7.333333333333333,59
282332,CC Sabathia,2017-04-04,490116,15,2,2,3,0,0,5.0,57
282332,CC Sabathia,2017-04-09,490187,18,3,4,6,2,0,6.0,45
282332,CC Sabathia,2017-04-15,490267,22,6,1,3,1,1,7.333333333333333,61
282332,CC Sabathia,2017-04-21,490345,15,3,2,7,4,2,5.0,26
282332,CC Sabathia,2017-04-28,490431,17,6,2,9,7,2,5.666666666666667,18
282332,CC Sabathia,2017-05-03,490515,12,5,4,7,6,1,4.0,21
282332,CC Sabathia,2017-05-09,490591,18,2,2,7,5,0,6.0,37
282332,CC Sabathia,2017-05-16,490687,20,4,2,5,0,0,6.666666666666667,60
282332,CC Sabathia,2017-05-21,490757,15,6,1,4,1,1,5.0,52
282332,CC Sabathia,2017-05-27,490838,19,9,3,6,2,1,6.333333333333333,48
282332,CC Sabathia,2017-06-01,490910,19,7,0,5,1,1,6.333333333333333,57
282332,CC Sabathia,2017-06-07,490979,24,5,0,5,0,0,8.0,69
282332,CC Sabathia,2017-06-13,491069,12,4,1,3,0,0,4.0,58
282332,CC Sabathia,2017-07-04,491362,8,1,3,3,4,0,2.6666666666666665,35
282332,CC Sabathia,2017-07-16,490398,18,3,5,2,0,0,6.0,57
282332,CC Sabathia,2017-07-21,491539,15,5,3,4,1,0,5.0,53
282332,CC Sabathia,2017-07-27,491626,13,3,1,5,4,1,4.333333333333333,36
282332,CC Sabathia,2017-08-01,491684,18,3,1,6,4,2,6.0,33
282332,CC Sabathia,2017-08-08,491785,9,3,1,6,4,2,3.0,24
282332,CC Sabathia,2017-08-19,491936,18,4,1,4,2,0,6.0,56
282332,CC Sabathia,2017-08-25,492020,21,6,1,5,1,1,7.0,56
282332,CC Sabathia,2017-08-31,492094,18,6,5,4,1,0,6.0,53
282332,CC Sabathia,2017-09-05,492171,16,3,1,8,5,3,5.333333333333333,18
282332,CC Sabathia,2017-09-11,492251,13,6,2,6,1,0,4.333333333333333,50
282332,CC Sabathia,2017-09-19,492357,18,5,1,6,2,1,6.0,47
282332,CC Sabathia,2017-09-25,490806,18,4,1,6,3,2,6.0,37
282332,CC Sabathia,2017-09-30,492513,17,6,0,4,0,0,5.666666666666667,65
