GAMEDATE,HOME,AWAY,HOME_SCORE,AWAY_SCORE,T1_ML_x,T1_ML_y,OU_RESULT,OU_LINE,arow_x,HOME_ML,AWAY_ML
2023-03-30,NYY,SFG,5,0,-170,155,U,6.5,False,-170,155
2023-03-30,BOS,BAL,9,10,-125,105,O,8.5,False,-125,105
2023-03-30,OAK,ANA,2,1,175,-205,U,7.0,False,175,-205
2023-03-30,SDP,COL,2,7,-220,180,O,7.0,False,-220,180
2023-03-30,HOU,CHW,2,3,-139,129,U,7.5,False,-139,129
2023-03-30,TBD,DET,4,0,-240,195,U,6.5,False,-240,195
2023-03-30,STL,TOR,9,10,-110,-110,O,7.5,False,-110,-110
2023-03-30,SEA,CLE,3,0,-120,100,U,6.5,False,-120,100
2023-03-30,WSN,ATL,2,7,210,-260,O,7.5,False,210,-260
2023-03-30,TEX,PHI,11,7,-140,125,O,6.5,False,-140,125
2023-03-30,FLA,NYM,3,5,113,-135,O,7.0,False,113,-135
2023-03-30,LAD,ARI,8,2,-165,145,O,7.0,False,-165,145
2023-03-30,CHC,MIL,4,0,120,-130,U,6.5,False,120,-130
2023-03-30,KCR,MIN,0,2,139,-154,U,9.0,False,139,-154
2023-03-30,CIN,PIT,4,5,-135,125,O,8.0,False,-135,125
2023-03-31,SDP,COL,1,4,-200,170,U,8.0,False,-200,170
2023-03-31,SEA,CLE,4,9,-167,140,O,7.5,False,-167,140
2023-03-31,LAD,ARI,1,2,-190,170,U,7.5,False,-190,170
2023-03-31,FLA,NYM,2,1,-105,-105,U,8.0,False,-105,-105
2023-03-31,HOU,CHW,6,3,-158,143,O,8.0,False,-158,143
2023-04-01,SEA,CLE,0,2,-133,123,U,7.0,False,-133,123
2023-04-01,BOS,BAL,9,8,-155,130,O,9.5,False,-155,130
2023-04-01,CHC,MIL,1,3,100,-120,U,6.5,False,100,-120
2023-04-01,TEX,PHI,16,3,105,-125,O,7.5,False,105,-125
2023-04-01,KCR,MIN,0,2,140,-165,U,8.0,False,140,-165
2023-04-01,WSN,ATL,1,7,205,-250,U,9.0,False,205,-250
2023-04-01,SDP,COL,8,4,-240,210,O,8.0,False,-240,210
2023-04-01,FLA,NYM,2,6,-105,-105,U,8.5,False,-105,-105
2023-04-01,STL,TOR,4,1,117,-127,U,8.0,False,117,-127
2023-04-01,TBD,DET,12,2,-182,155,O,7.0,False,-182,155
2023-04-01,LAD,ARI,10,1,-270,220,O,8.0,False,-270,220
2023-04-01,HOU,CHW,6,4,-134,124,O,8.5,False,-134,124
2023-04-01,NYY,SFG,5,7,-136,126,O,8.5,False,-136,126
2023-04-01,CIN,PIT,6,2,-150,135,U,8.5,False,-150,135
2023-04-01,OAK,ANA,1,13,141,-170,O,7.5,False,141,-170
2023-04-02,OAK,ANA,0,6,135,-150,U,7.5,False,135,-150
2023-04-02,BOS,BAL,9,5,-141,120,O,9.0,False,-141,120
2023-04-02,LAD,ARI,1,2,-185,165,U,8.5,False,-185,165
2023-04-02,CHC,MIL,5,9,-125,115,O,9.0,False,-125,115
2023-04-02,TEX,PHI,2,1,-125,105,U,8.5,False,-125,105
2023-04-02,WSN,ATL,4,1,144,-175,U,8.5,False,144,-175
2023-04-02,KCR,MIN,4,7,122,-145,O,9.0,False,122,-145
2023-04-02,STL,TOR,9,4,-115,105,O,7.5,False,-115,105
2023-04-02,SDP,COL,3,1,-205,185,U,8.0,False,-205,185
2023-04-02,SEA,CLE,5,6,-115,105,O,8.0,False,-115,105
2023-04-02,NYY,SFG,6,0,-130,120,U,8.0,False,-130,120
2023-04-02,TBD,DET,5,1,-278,230,U,7.5,False,-278,230
2023-04-02,HOU,CHW,3,6,-145,122,O,8.0,False,-145,122
2023-04-02,CIN,PIT,3,1,-128,118,U,9.0,False,-128,118
2023-04-02,FLA,NYM,1,5,105,-115,U,7.5,False,105,-115
